member_title,member_url,pageid,source_articles,source_article_urls,root_categories,root_category_urls,categories_found_in
A. C. Graham,https://en.wikipedia.org/wiki/A._C._Graham,12044227,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. Catharine Ross,https://en.wikipedia.org/wiki/A._Catharine_Ross,64619550,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
A. D. Hope,https://en.wikipedia.org/wiki/A._D._Hope,988577,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of the Humanities
A. Dale Kaiser,https://en.wikipedia.org/wiki/A._Dale_Kaiser,43949577,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
A. David Buckingham,https://en.wikipedia.org/wiki/A._David_Buckingham,7868885,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of Science
A. E. Trueman,https://en.wikipedia.org/wiki/A._E._Trueman,14460913,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society | Category:Fellows of the Royal Society of Edinburgh
A. Eugene Washington,https://en.wikipedia.org/wiki/A._Eugene_Washington,68432936,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
A. F. Tredgold,https://en.wikipedia.org/wiki/A._F._Tredgold,59443638,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
A. G. Dickens,https://en.wikipedia.org/wiki/A._G._Dickens,6089063,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. G. Hopkins,https://en.wikipedia.org/wiki/A._G._Hopkins,11748098,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. G. L. Shaw,https://en.wikipedia.org/wiki/A._G._L._Shaw,10358502,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Academy of the Social Sciences in Australia | Category:Fellows of the Australian Academy of the Humanities
A. G. Mearns,https://en.wikipedia.org/wiki/A._G._Mearns,55132103,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
A. G. Rigg,https://en.wikipedia.org/wiki/A._G._Rigg,59667885,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
A. G. van Hamel,https://en.wikipedia.org/wiki/A._G._van_Hamel,20750149,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Netherlands Academy of Arts and Sciences
A. H. Armstrong,https://en.wikipedia.org/wiki/A._H._Armstrong,4171614,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. H. Freeland Barbour,https://en.wikipedia.org/wiki/A._H._Freeland_Barbour,46262363,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
A. H. M. Jones,https://en.wikipedia.org/wiki/A._H._M._Jones,7625597,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. Hamilton Thompson,https://en.wikipedia.org/wiki/A._Hamilton_Thompson,66685352,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. J. Ayer,https://en.wikipedia.org/wiki/A._J._Ayer,2018,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. J. M. Smith,https://en.wikipedia.org/wiki/A._J._M._Smith,2076572,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
A. J. Mundella,https://en.wikipedia.org/wiki/A._J._Mundella,917327,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society
A. J. P. Taylor,https://en.wikipedia.org/wiki/A._J._P._Taylor,140444,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. James Clark,https://en.wikipedia.org/wiki/A._James_Clark,11953615,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
A. James Hudspeth,https://en.wikipedia.org/wiki/A._James_Hudspeth,57495489,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Norwegian Academy of Science and Letters | Category:Members of the United States National Academy of Sciences
A. K. M. Aminul Haque,https://en.wikipedia.org/wiki/A._K._M._Aminul_Haque,58285394,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of Bangladesh Academy of Sciences
A. Kimball Romney,https://en.wikipedia.org/wiki/A._Kimball_Romney,11690865,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
A. L. F. Rivet,https://en.wikipedia.org/wiki/A._L._F._Rivet,66423464,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. L. Rowse,https://en.wikipedia.org/wiki/A._L._Rowse,189576,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. Louis London,https://en.wikipedia.org/wiki/A._Louis_London,34572712,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
A. M. Dale,https://en.wikipedia.org/wiki/A._M._Dale,51246187,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. M. Harun-ar-Rashid,https://en.wikipedia.org/wiki/A._M._Harun-ar-Rashid,33216337,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of Bangladesh Academy of Sciences
A. M. Jayannavar,https://en.wikipedia.org/wiki/A._M._Jayannavar,55555126,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Indian National Science Academy
A. Mark Richards,https://en.wikipedia.org/wiki/A._Mark_Richards,69985329,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Royal Society of New Zealand
A. N. Sherwin-White,https://en.wikipedia.org/wiki/A._N._Sherwin-White,2468889,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. Norman Jeffares,https://en.wikipedia.org/wiki/A._Norman_Jeffares,25611698,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of the Humanities
A. P. B. Sinha,https://en.wikipedia.org/wiki/A._P._B._Sinha,52256432,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Indian National Science Academy
A. Richard Newton,https://en.wikipedia.org/wiki/A._Richard_Newton,8774659,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
A. Richard Palmer,https://en.wikipedia.org/wiki/A._Richard_Palmer,48185358,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
A. Rod Gover,https://en.wikipedia.org/wiki/A._Rod_Gover,51799636,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Royal Society of New Zealand
A. Rupert Hall,https://en.wikipedia.org/wiki/A._Rupert_Hall,33571280,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. S. F. Gow,https://en.wikipedia.org/wiki/A._S._F._Gow,915418,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. Starker Leopold,https://en.wikipedia.org/wiki/A._Starker_Leopold,11385490,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
A. Stephen Morse,https://en.wikipedia.org/wiki/A._Stephen_Morse,48662306,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
A. T. Phillipson,https://en.wikipedia.org/wiki/A._T._Phillipson,56122258,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
A. V. Dicey,https://en.wikipedia.org/wiki/A._V._Dicey,499053,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. V. Rama Rao,https://en.wikipedia.org/wiki/A._V._Rama_Rao,47993806,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Indian National Science Academy
A. W. B. Simpson,https://en.wikipedia.org/wiki/A._W._B._Simpson,26044158,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
A. W. Martin,https://en.wikipedia.org/wiki/A._W._Martin,60271096,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of the Humanities
A. Welford Castleman Jr.,https://en.wikipedia.org/wiki/A._Welford_Castleman_Jr.,51394851,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
A. Yu. Krymskyi Institute of Oriental Studies,https://en.wikipedia.org/wiki/A._Yu._Krymskyi_Institute_of_Oriental_Studies,57579754,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Institutes of the National Academy of Sciences of Ukraine
A.D. Xenopol Institute of History,https://en.wikipedia.org/wiki/A.D._Xenopol_Institute_of_History,51048010,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Institutes of the Romanian Academy
Aad van der Vaart,https://en.wikipedia.org/wiki/Aad_van_der_Vaart,46963781,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Netherlands Academy of Arts and Sciences
Aadel Brun Tschudi,https://en.wikipedia.org/wiki/Aadel_Brun_Tschudi,75720706,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Norwegian Academy of Science and Letters
Aafje Looijenga-Vos,https://en.wikipedia.org/wiki/Aafje_Looijenga-Vos,60219966,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Netherlands Academy of Arts and Sciences
Aage Bohr,https://en.wikipedia.org/wiki/Aage_Bohr,2201,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Norwegian Academy of Science and Letters | Category:Members of the Pontifical Academy of Sciences | Category:Members of the Royal Swedish Academy of Sciences
Aage Friis,https://en.wikipedia.org/wiki/Aage_Friis,53099618,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Royal Danish Academy of Sciences and Letters
Aant Elzinga,https://en.wikipedia.org/wiki/Aant_Elzinga,20326406,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Royal Society of Sciences and Letters in Gothenburg
Aanund Hylland,https://en.wikipedia.org/wiki/Aanund_Hylland,29572076,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Norwegian Academy of Science and Letters
Aarne Michaël Tallgren,https://en.wikipedia.org/wiki/Aarne_Michaël_Tallgren,58328943,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,"Category:Members of the Royal Swedish Academy of Letters, History and Antiquities"
Aaron B. Lerner,https://en.wikipedia.org/wiki/Aaron_B._Lerner,22232795,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the National Academy of Medicine | Category:Members of the United States National Academy of Sciences
Aaron Beck,https://en.wikipedia.org/wiki/Aaron_Beck,509129,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Aaron C. Waters,https://en.wikipedia.org/wiki/Aaron_C._Waters,76775944,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Aaron Ciechanover,https://en.wikipedia.org/wiki/Aaron_Ciechanover,1043968,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the European Academy of Sciences and Arts | Category:Members of the German National Academy of Sciences Leopoldina | Category:Members of the Israel Academy of Sciences and Humanities | Category:Members of the National Academy of Medicine | Category:Members of the Pontifical Academy of Sciences
Aaron D. Wyner,https://en.wikipedia.org/wiki/Aaron_D._Wyner,14132451,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
Aaron Kesselheim,https://en.wikipedia.org/wiki/Aaron_Kesselheim,76630079,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Aaron Klug,https://en.wikipedia.org/wiki/Aaron_Klug,758556,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the French Academy of Sciences
Aaron Naber,https://en.wikipedia.org/wiki/Aaron_Naber,77589855,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Aaron Shatkin,https://en.wikipedia.org/wiki/Aaron_Shatkin,65650416,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Aaron Shirley,https://en.wikipedia.org/wiki/Aaron_Shirley,27164134,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Ab Osterhaus,https://en.wikipedia.org/wiki/Ab_Osterhaus,24543981,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the German National Academy of Sciences Leopoldina | Category:Members of the Royal Netherlands Academy of Arts and Sciences
Ab van Kammen,https://en.wikipedia.org/wiki/Ab_van_Kammen,64761989,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Netherlands Academy of Arts and Sciences
Abbas El Gamal,https://en.wikipedia.org/wiki/Abbas_El_Gamal,32837727,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
Abbas Jirari,https://en.wikipedia.org/wiki/Abbas_Jirari,53122159,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abbotsford Club,https://en.wikipedia.org/wiki/Abbotsford_Club,27240413,Learned society,https://en.wikipedia.org/wiki/Learned_society,Category:Learned societies,https://en.wikipedia.org/wiki/Category:Learned_societies,Category:Text publication societies
Abdallah Daar,https://en.wikipedia.org/wiki/Abdallah_Daar,32788116,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Abdallah Laroui,https://en.wikipedia.org/wiki/Abdallah_Laroui,8562296,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abdel El Manira,https://en.wikipedia.org/wiki/Abdel_El_Manira,78365442,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Swedish Academy of Sciences
Abdelhadi Boutaleb,https://en.wikipedia.org/wiki/Abdelhadi_Boutaleb,33415142,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abdelhadi Tazi,https://en.wikipedia.org/wiki/Abdelhadi_Tazi,11168493,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abdelkrim Ghallab,https://en.wikipedia.org/wiki/Abdelkrim_Ghallab,16860713,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abdellah Guennoun,https://en.wikipedia.org/wiki/Abdellah_Guennoun,21528403,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abdellatif Filali,https://en.wikipedia.org/wiki/Abdellatif_Filali,1189817,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Abdelwahab Bouhdiba,https://en.wikipedia.org/wiki/Abdelwahab_Bouhdiba,66184203,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,"Category:Members of the Tunisian Academy of Sciences, Letters, and Arts"
Abdolmohammad Ayati,https://en.wikipedia.org/wiki/Abdolmohammad_Ayati,63162294,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Academy of Persian Language and Literature
Abduhamid Juraev,https://en.wikipedia.org/wiki/Abduhamid_Juraev,24455146,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Tajik Academy of Sciences
Abdul Matin Patwari,https://en.wikipedia.org/wiki/Abdul_Matin_Patwari,50996619,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of Bangladesh Academy of Sciences
